id,chapter,question,question_image,choice1,choice1_explanation,choice2,choice2_explanation,choice3,choice3_explanation,choice4,choice4_explanation,choice5,choice5_explanation,choice6,choice6_explanation,choice7,choice7_explanation,choice8,choice8_explanation,answer,explanation
79,修了試験A-2,活性化関数であるソフトマックス関数を表す式を以下のうちから１つ選べ。,images/A-2/softmax_formula_choices.png,A,省略,B,省略,C,省略,D,省略,,,,,,,,,1,ソフトマックス関数は y = e^(aₖ) / Σᵢe^(aᵢ) です(A)。各要素の指数を取り、その合計で割ることで、全出力の合計が1となる確率分布に変換します。
80,修了試験A-2,"活性化関数の理想的な条件は、（　あ　）かつ（　い　）である。
（　あ　）の理由 は、関数表現を限定的にしないためである。
また（　い　） の理由は、誤差逆伝播を行い、正しい勾配を計算し、パラメータを最適化するために必要となるためである。 活性化関数の１つとして（　う　）がある。

空欄（　あ　）として適切なものを以下のうちから１つ選べ。",,単調増加,不正解。単調増加は「関数表現を限定しない」ことの理由になりません。,線形,不正解。線形だと何層重ねても全体が１つの線形変換に潰れ、表現力が増えません。,微分可能,不正解。微分可能は（　い　）に入る条件です。,単調減少,不正解。単調減少は理想条件として問われている性質ではありません。,非線形,正解。非線形であることで関数表現が限定されず、多層化する意味が生まれます。,微分不可,不正解。微分不可では誤差逆伝播ができず、理想条件と逆です。,,,,,5,活性化関数が線形だと、何層重ねても全体が1つの線形変換に潰れてしまい、多層にする意味がなくなります。表現力を確保するために活性化関数は非線形である必要があります。
81,修了試験A-2,"活性化関数の理想的な条件は、（　あ　）かつ（　い　）である。
（　あ　）の理由 は、関数表現を限定的にしないためである。
また（　い　） の理由は、誤差逆伝播を行い、正しい勾配を計算し、パラメータを最適化するために必要となるためである。 活性化関数の１つとして（　う　）がある。

空欄（　い　）として適切なものを以下のうちから１つ選べ。",,単調減少,不正解。単調減少は勾配計算の必要条件ではありません。,微分可能,正解。誤差逆伝播では連鎖律により勾配を計算するため、微分可能であることが必要です。,単調増加,不正解。単調増加は勾配計算の必要条件ではありません。,微分不可,不正解。微分できなければ勾配を計算できません。,非線形,不正解。非線形は（　あ　）に入る条件です。,線形,不正解。線形は理想条件（　あ　）＝非線形と逆の性質です。,,,,,2,誤差逆伝播法では連鎖律を使って勾配を計算するため、活性化関数は微分可能である(勾配が定義できる)ことが求められます。
82,修了試験A-2,"活性化関数の理想的な条件は、（　あ　）かつ（　い　）である。
（　あ　）の理由 は、関数表現を限定的にしないためである。
また（　い　） の理由は、誤差逆伝播を行い、正しい勾配を計算し、パラメータを最適化するために必要となるためである。 活性化関数の１つとして（　う　）がある。

空欄（　う　）に当てはまらない語句を以下のうちから１つ選べ。",,Leaky ReLU関数,不正解。Leaky ReLU関数は代表的な活性化関数の１つです。,tanh関数,不正解。tanh関数は代表的な活性化関数の１つです。,指数関数,正解。指数関数は値が発散してしまうため、活性化関数としては用いられません。,sigmoid関数,不正解。sigmoid関数は代表的な活性化関数の１つです。,,,,,,,,,3,Leaky ReLU、tanh、sigmoidはいずれも代表的な活性化関数ですが、指数関数は値が発散してしまうため活性化関数としては用いられません。
83,修了試験A-2,活性化関数によっては、微分した値が小さくなり、勾配情報がなくなってしまい更新できない場合がある問題のこと何というか。,,勾配収束問題,不正解。「勾配収束問題」という名称の問題はありません。,勾配爆発問題,不正解。勾配爆発問題は勾配が大きくなりすぎて発散する、逆方向の現象です。,勾配損失問題,不正解。「勾配損失問題」という名称の問題はありません。,勾配消失問題,正解。微分値が小さい活性化関数を重ねると勾配がほぼ0になり更新できなくなる、勾配消失問題の説明です。,,,,,,,,,4,誤差逆伝播では各層の微分値が掛け合わされるため、微分値が1より小さい活性化関数(シグモイドなど)を多層に重ねると、入力側に近い層ほど勾配がほぼ0になって学習が進まなくなります。これを勾配消失問題といいます。
84,修了試験A-2,活性化関数の式について、以下のうち誤っている選択肢を１つ選べ。,images/A-2/activation_formula_choices.png,シグモイド関数,不正解（式は正しい）。y = 1/(1+exp(−x)) はシグモイド関数の正しい式です。,ReLU関数,"不正解（式は正しい）。y = max(0, x) はReLU関数の正しい式です。",Leaky ReLU,不正解（式は正しい）。正の入力はそのまま、負の入力を0.01倍するLeaky ReLUの正しい式です。,tanh関数,正解（これが誤った式）。tanhの正しい式は y = (e^x − e^(−x))/(e^x + e^(−x)) で、図の式は分子と分母が逆です。,,,,,,,,,4,"tanh関数の正しい式は y = (eˣ − e⁻ˣ)/(eˣ + e⁻ˣ) ですが、図の式は分子と分母が逆になっています。シグモイド y = 1/(1+exp(−x))、ReLU y = max(0, x)、Leaky ReLU(x>0でx、x≤0で0.01x)の対応は正しい記述です。"
85,修了試験A-2,活性化関数について、以下のうち正しい選択肢を１つ選べ。,,ReLU と Leaky ReLU は負の入力に対して微小な勾配を持つ。,不正解。負の入力に対して微小な勾配を持つのはLeaky ReLUのみで、ReLUの負側の勾配は0です。,tanh関数を微分した数式は dy/dx = 1 + y² である。,不正解。tanhの微分は dy/dx = 1 − y² であり、1 + y² ではありません。,勾配消失問題は、誤差の勾配が徐々に小さくなってしまい、層数が減少することで学習が進まなくなる問題である。,不正解。勾配消失は層数が「増加」した深いネットワークで生じる問題です。,シグモイド関数では、入力の絶対値が大きくなると勾配消失が生じやすくなる。,正解。シグモイドの微分は最大でも1/4しかなく、|x|が大きい領域では傾きがほぼ0になるため勾配消失が生じやすくなります。,,,,,,,,,4,シグモイド関数の微分は y(1−y) で最大値が1/4しかなく、|x|が大きい領域では傾きがほぼ0になるため勾配消失が生じやすくなります。なお、ReLUの負の入力に対する勾配は0（微小な勾配を持つのはLeaky ReLUのみ）、tanhの微分は dy/dx = 1 − y²、勾配消失問題は層数が増加した深いネットワークで生じる問題です。
86,修了試験A-2,活性化関数として利用されるシグモイド関数 として適切な式を以下のうちから１つ選べ。,,y = 1 / (1 + e^(-x)),省略,y = 1 / (1 + e^x),省略,y = -1 / (1 + e^(-x)),省略,y = -1 / (1 + e^x),省略,,,,,,,,,1,"シグモイド関数は y = 1/(1 + e⁻ˣ) です。x→∞で1、x→−∞で0に漸近し、値域(0, 1)の滑らかなS字カーブを描きます。"
87,修了試験A-2,活性化関数として利用される tanh 関数 として適切な式を以下のうちから１つ選べ。,,y = (e^x - e^(-x)) / (e^x + e^(-x)),省略,y = (e^x + e^(-x)) / (e^x + e^(-x)),省略,y = (e^x - e^(-x)) / (e^x - e^(-x)),省略,y = (e^x + e^(-x)) / (e^x - e^(-x)),省略,,,,,,,,,1,"tanh(双曲線正接)関数は y = (eˣ − e⁻ˣ)/(eˣ + e⁻ˣ) です。値域は(−1, 1)で、シグモイドと違い出力が0中心になるという利点があります。"
88,修了試験A-2,活性化関数として一般的なシグモイド関数の値域として正しい説明文を１つ選べ。,,"(-1, x)",不正解。値域の上限が入力xに依存することはありません。,"(0, 1)",正解。シグモイド関数の出力は0より大きく1より小さいため、確率として解釈できます。,"(0, x)",不正解。値域の上限が入力xに依存することはありません。,"(-1, 1)","不正解。(−1, 1) はtanh関数の値域です。",,,,,,,,,2,"シグモイド関数の出力は0より大きく1より小さい範囲、すなわち(0, 1)です。この性質から出力を確率として解釈でき、二値分類の出力層に用いられます。なお(−1, 1)はtanh関数の値域です。"
89,修了試験A-2,"シグモイド関数を微分した式は（　お　）であり、最大値は（　か　）となる。

空欄（　お　）、（　か　）に当てはまる語句の組み合わせとして正しいものを以下のうちから１つ選べ。",,（お）：y(1 - y)　（か）：1/4,正解。シグモイドの微分は y(1−y) で、y=1/2のとき最大値 1/4 を取ります。,（お）：y(1 + y)　（か）：1,不正解。微分の形も最大値も誤りです。,（お）：y(1 + y)　（か）：1/4,不正解。微分の形が y(1+y) ではありません。,（お）：y(1 - y)　（か）：1,不正解。微分の形は正しいですが、最大値は1ではなく1/4です。,,,,,,,,,1,シグモイド関数 y = 1/(1+e⁻ˣ) の微分は dy/dx = y(1−y) と自身の出力だけで表せます。y=1/2のとき最大となり、最大値は 1/2 × 1/2 = 1/4 です。最大でも1/4しかないことが、シグモイドを重ねたときの勾配消失の原因になります。
90,修了試験A-2,"次のSigmoid関数を実装しようと考えて、以下のコードを作成した。

空欄（　う　）に当てはまる選択肢を以下のうちから１つ選べ。",images/A-2/sigmoid_class_code.png,1 / (1 + np.exp(-x)),省略,1 / (1 + np.exp(x)),省略,1 / (1 - np.exp(x)),省略,1 / (1 - np.exp(-x)),省略,,,,,,,,,1,シグモイド関数 y = 1/(1+e⁻ˣ) をNumPyで書くと 1 / (1 + np.exp(-x)) です。
91,修了試験A-2,"次のSigmoid関数を実装しようと考えて、以下のコードを作成した。

空欄（　え　）に当てはまる選択肢を以下のうちから１つ選べ。",images/A-2/sigmoid_class_code.png,dout * (1.0 - self.out) * self.out,省略,dout + (1.0 - self.out) * self.out,省略,dout - (1.0 - self.out) * self.out,省略,dout / (1.0 - self.out) * self.out,省略,,,,,,,,,1,シグモイドの微分は y(1−y) なので、逆伝播では上流から流れてきた勾配doutに (1.0 - self.out) * self.out を掛けます。forwardで保存した出力self.outだけで逆伝播を計算できるのがポイントです。
92,修了試験A-2,"一般に、解きたいタスクが二値分類である場合、最終層の活性化関数には（　あ　）を選択することが多い。また、解きたいタスクが（　い　）である場合は、最終層の活性化関数はSoftmax関数を選択することが多い。

空欄（　あ　）に当てはまる語句を以下のうちから１つ選べ。",,ReLU関数,不正解。ReLUの出力は0~1に収まらないため、確率として解釈できません。,Sigmoid関数,正解。出力を「正例である確率」(0~1)として解釈できるため、二値分類の最終層に用います。,Softmax関数,不正解。Softmax関数は多値分類の最終層で用いるのが一般的です。,tanh関数,"不正解。tanhの値域は(−1, 1)のため、確率として解釈できません。",,,,,,,,,2,二値分類では出力を「正例である確率」(0~1)として解釈するため、最終層にはSigmoid関数を用います。
93,修了試験A-2,"一般に、解きたいタスクが二値分類である場合、最終層の活性化関数には（　あ　）を選択することが多い。また、解きたいタスクが（　い　）である場合は、最終層の活性化関数はSoftmax関数を選択することが多い。

空欄（　い　）に当てはまる語句を以下のうちから１つ選べ。",,密度推定,不正解。Softmaxは密度推定のための関数ではありません。,次元削減,不正解。次元削減とは無関係です。,回帰,不正解。回帰の出力層には恒等関数が用いられます。,多値分類,正解。Softmaxは全クラスの合計が1になる確率分布を作るため、多値分類の最終層で用います。,,,,,,,,,4,Softmax関数は全クラスの出力の合計が1になる確率分布を作るため、多値分類(多クラス分類)の最終層で用いられます。
94,修了試験A-2,"また、ReLU関数を改良したLeaky ReLU関数が存在する。以下はそのコードである。

Leaky ReLU関数に当てはまる式を以下のうちから１つ選べ。",images/A-2/leaky_relu_code.png,f = x (x < 0)、ax (x ≥ 0),省略,f = x (x > 0)、0.01x (x ≤ 0),省略,f = log(1 + e^x),省略,"f = max(0, x)",省略,,,,,,,,,2,"Leaky ReLUは、正の入力はそのまま通し、負の入力には小さな傾き(ここでは0.01)を掛けて微小な勾配を残す関数です。f = max(0, x)は通常のReLU、log(1+eˣ)はSoftplus関数です。負側の勾配を残すことで、ReLUの「死んだニューロン」問題を緩和します。"
95,修了試験A-2,以下のうち、近年の層の深いニューラルネットワークではSigmoid関数に代わってReLUが頻繁に用いられている理由に関する正しい説明文を１つ選べ。,,値域が広いので、表現力が増えるから。,不正解。値域の広さが理由ではありません。,微分値が最大で１となるので勾配消失になりにくいから。,正解。ReLUは正の領域で微分値が常に1のため、層を重ねても勾配が縮小しにくく、勾配消失が起こりにくくなります。,層が深いことによる計算量の大きさを防ぐ働きがあるから。,不正解。計算量を抑えることが本質的な理由ではありません。,シグモイド関数より次元数が小さい関数であるとわかったから。,不正解。「次元数が小さい関数」という説明は意味を成しません。,,,,,,,,,2,ReLUは正の領域で微分値が常に1なので、層を深く重ねても勾配が縮小しにくく、勾配消失問題が起こりにくくなります。シグモイドは微分値が最大1/4のため、深い層では勾配が急速に小さくなってしまいます。
96,修了試験A-2,"機械学習において、正解値と予測結果との関係を損失関数として数値化したが、その目的は誤差を最小にするように重みを更新していくことにある。その重みの更新手法の１つとして一般的なのが勾配降下法である。勾配降下法を用いるためには、損失関数が（　あ　）である必要がある。また、勾配降下法では重みを更新していくと意図せず（　い　）に陥ってしまうことがあるので、注意が必要である。

空欄（　あ　）に当てはまる語句を以下のうちから１つ選べ。",,下に凸,不正解。凸性があれば大域解に到達しやすくなりますが、勾配降下法を用いるための必要条件ではありません。,上に凸,不正解。最小化問題で上に凸である必要はありません。,単調増加,不正解。損失関数に単調性は求められません。,微分可能,正解。勾配（微分）を使ってパラメータを更新するため、損失関数は微分可能である必要があります。,,,,,,,,,4,勾配降下法は損失関数の勾配(微分)を使ってパラメータを更新する手法なので、損失関数は微分可能である必要があります。
97,修了試験A-2,"機械学習において、正解値と予測結果との関係を損失関数として数値化したが、その目的は誤差を最小にするように重みを更新していくことにある。その重みの更新手法の１つとして一般的なのが勾配降下法である。勾配降下法を用いるためには、損失関数が（　あ　）である必要がある。また、勾配降下法では重みを更新していくと意図せず（　い　）に陥ってしまうことがあるので、注意が必要である。

空欄（　い　）に当てはまる語句を以下のうちから１つ選べ。",,最適解,不正解。最適解（大域解）への到達は望ましい結果であり、「意図せず陥る」ものではありません。,局所解,正解。勾配が0になる局所的な谷（局所解）で更新が止まり、大域的な最小値に到達できないことがあります。,鞍点,不正解。鞍点も停滞の原因になりますが、本文の文脈で「意図せず陥る」とされているのは局所解です。,停留点,不正解。停留点は勾配が0になる点の総称で、ここでは局所解が適切です。,,,,,,,,,2,勾配降下法は勾配が0になる点で停止してしまうため、全体の最小値(大域解)ではない局所的な谷である局所解に陥ることがあります。
98,修了試験A-2,"機械学習を行う際、正解値と予測結果との関係を損失関数として数値化し、誤差を最小にするように重みを更新していく必要がある。最近では、重みの更新手法としてAdamやAdaGradなどが提案されている。更新手法の１つでもっとも基礎的な考え方が、勾配降下法である。

以下のうち、正しい説明文を１つ選べ。",,学習率を小さくすることのメリットとして発散しにくいことが挙げられる。,正解。学習率が小さいと1回の更新幅が小さく、振動・発散しにくくなります（その分、収束は遅くなります）。,勾配降下法の目的は鞍点という最小値を求めることである。,不正解。鞍点は最小値ではありません。勾配降下法の目的は損失関数の最小化です。,学習率を大きくすると、収束が早くなるが局所解に陥る可能性が高くなる。,不正解。学習率を大きくすると発散のリスクが高まる一方、局所解は飛び越えやすくなります。「局所解に陥る可能性が高くなる」が誤りです。,勾配降下法による学習によってパラメータの更新がある値に収束した時、最適なパラメータが得られたと考えられる。,不正解。収束した値が局所解である可能性があるため、最適なパラメータが得られたとは限りません。,,,,,,,,,1,学習率が小さいと1回の更新幅が小さくなるため、値が振動・発散しにくく安定して学習できます（代わりに収束は遅くなります）。
99,修了試験A-2,"勾配降下法は、学習率と勾配を使うことで重みを更新していく（　あ　）のような式であり、学習率と勾配のみを入力としていることから、それらを最大限活用するように最適なアルゴリズムがいくつも提案された。（　い　）は全訓練データを利用することに特徴がある勾配降下法である。この手法は、一度局所解に陥るとなかなか抜け出せないことや勾配が小さいと最小値に到達しない可能性があることなどの問題があった。それを改善したのが（　う　）である。学習ごとに一部のデータのみを利用することで降下方向が変化し、局所解から抜け出しやすくなったことが特徴として挙げられる。

空欄（　あ　）に当てはまる式を以下のうちから１つ選べ。ただし a は学習率とする。",,W = W − aΔW,省略,W = W + aΔW,省略,W = aW − ΔW,省略,W = aW + ΔW,省略,,,,,,,,,1,勾配降下法は、損失が減る方向(勾配の逆方向)に学習率α分だけ進む更新式 W = W − αΔW で表されます。勾配方向に「引く」ことがポイントです。
100,修了試験A-2,"勾配降下法は、学習率と勾配を使うことで重みを更新していく（　あ　）のような式であり、学習率と勾配のみを入力としていることから、それらを最大限活用するように最適なアルゴリズムがいくつも提案された。（　い　）は全訓練データを利用することに特徴がある勾配降下法である。この手法は、一度局所解に陥るとなかなか抜け出せないことや勾配が小さいと最小値に到達しない可能性があることなどの問題があった。それを改善したのが（　う　）である。学習ごとに一部のデータのみを利用することで降下方向が変化し、局所解から抜け出しやすくなったことが特徴として挙げられる。

空欄（　い　）に当てはまる語句を以下のうちから１つ選べ。",,バッチ勾配降下法,正解。全訓練データを使って勾配を計算する方式はバッチ勾配降下法（最急降下法）と呼ばれます。,ニュートン法,不正解。ニュートン法は二階微分（ヘッセ行列）を利用する別系統の最適化手法です。,SGD,不正解。SGDは一部のデータのみで勾配を計算する改良版で、本文の（　う　）に該当します。,共役勾配法,不正解。共役勾配法は別系統の最適化手法です。,,,,,,,,,1,全訓練データを使って1回の勾配を計算する方式はバッチ勾配降下法(最急降下法)と呼ばれます。毎回同じ勾配方向になるため、局所解から抜け出しにくいという欠点があります。
101,修了試験A-2,"勾配降下法は、学習率と勾配を使うことで重みを更新していく（　あ　）のような式であり、学習率と勾配のみを入力としていることから、それらを最大限活用するように最適なアルゴリズムがいくつも提案された。（　い　）は全訓練データを利用することに特徴がある勾配降下法である。この手法は、一度局所解に陥るとなかなか抜け出せないことや勾配が小さいと最小値に到達しない可能性があることなどの問題があった。それを改善したのが（　う　）である。学習ごとに一部のデータのみを利用することで降下方向が変化し、局所解から抜け出しやすくなったことが特徴として挙げられる。

空欄（　う　）に当てはまる式を以下のうちから１つ選べ。aは学習率、Eは誤差関数とする。",,Wᵢ₊₁ = Wᵢ − a ∂E/∂Wᵢ,省略,Wᵢ₊₁ = Wᵢ + a ∂E/∂Wᵢ,省略,Wᵢ₊₁ = aWᵢ − ∂E/∂Wᵢ,省略,Wᵢ₊₁ = aWᵢ + ∂E/∂Wᵢ,省略,,,,,,,,,1,確率的勾配降下法(SGD)の更新式は Wᵢ₊₁ = Wᵢ − α∂E/∂Wᵢ です。ランダムに選んだ一部のデータ(ミニバッチ)で勾配を計算するため降下方向に揺らぎが生じ、局所解から抜け出しやすくなります。
102,修了試験A-2,"勾配降下法は、学習率と勾配を用いて重みを更新していく方法であり、それらを最大限活用するように最適なアルゴリズムがいくつも提案された。勾配降下法の１つに損失関数の計算にミニバッチ（=訓練データの一部抜粋）として無作為に選ばれたデータを使用する方法があり、それをSGDという。以下はSGDの実装コードである。

空欄（　あ　）に当てはまる選択肢を以下のうちから１つ選べ。",images/A-2/sgd_code.png,+= self.lr * grads[key],省略,+= self.lr / grads[key],省略,-= self.lr / grads[key],省略,-= self.lr * grads[key],省略,,,,,,,,,4,SGDの更新式 W = W − α∇E をコードにすると params[key] -= self.lr * grads[key] です。学習率と勾配の「積」を「引く」ことがポイントです。
103,修了試験A-2,"SGDは確率的な性質を持つため学習が不規則になる傾向があった。したがって、それまでの勾配情報も踏まえた更新を行うことで、より効率よく最小値に向かいたいという（　あ　）系のアルゴリズムが提案された。同時に学習の序盤は学習率を大きくし素早く解の付近にたどり着き、次第に学習率を減らして解に近づけていきたいという（　い　）系のアルゴリズムも提案されるようになった。

空欄（　あ　）に当てはまる選択肢を以下のうちから１つ選べ。",,AdaGrad,不正解。AdaGradは学習率を次第に減らしていく（　い　）系の手法です。,GD,不正解。GD（勾配降下法）は過去の勾配情報の蓄積を行いません。,Momentum,正解。それまでの勾配情報を慣性として踏まえた更新を行うのがMomentum系のアルゴリズムです。,GAN,不正解。GANは生成モデルの枠組みであり、最適化アルゴリズムではありません。,,,,,,,,,3,過去の勾配を慣性(モーメンタム)として蓄積し、これまでの進行方向を踏まえて更新するのがMomentum系の手法です。
104,修了試験A-2,"SGDは確率的な性質を持つため学習が不規則になる傾向があった。したがって、それまでの勾配情報も踏まえた更新を行うことで、より効率よく最小値に向かいたいという（　あ　）系のアルゴリズムが提案された。同時に学習の序盤は学習率を大きくし素早く解の付近にたどり着き、次第に学習率を減らして解に近づけていきたいという（　い　）系のアルゴリズムも提案されるようになった。

空欄（　い　）に当てはまる選択肢を以下のうちから１つ選べ。",,Momentum,不正解。Momentumは勾配情報を蓄積する（　あ　）系です。,AdaGrad,正解。AdaGradは過去の勾配の二乗和に応じてパラメータごとに学習率を減衰させ、序盤は大きく終盤は小さく更新します。,GD,不正解。GDは学習率の自動調整を行いません。,GAN,不正解。GANは最適化アルゴリズムではありません。,,,,,,,,,2,AdaGradは過去の勾配の二乗和を蓄積し、それに応じてパラメータごとに学習率を自動的に減衰させていく手法です。序盤は大きく、終盤は小さく更新するという要求に対応します。
105,修了試験A-2,"SGDは確率的な性質を持つため学習が不規則になる傾向があった。そこで、前ステップの勾配情報を踏まえた更新を行うことで、より効率よく最小値に向かうことを狙いとした Momentum 系のアルゴリズムが提案された。以下は Momentum の実装コードである。

空欄（　あ　）に当てはまる選択肢を以下のうちから１つ選べ。",images/A-2/momentum_code.png,self.momentum / self.v[key] + self.lr / grads[key],省略,self.momentum - self.v[key] * self.lr - grads[key],省略,self.momentum + self.v[key] / self.lr + grads[key],省略,self.momentum * self.v[key] - self.lr * grads[key],省略,,,,,,,,,4,Momentumの速度更新式は v ← μv − α∇E です。コードでは self.v[key] = self.momentum * self.v[key] - self.lr * grads[key] となり、過去の速度を減衰させながら新しい勾配を加えていきます。
106,修了試験A-2,"SGDは確率的な性質を持つため学習が不規則になる傾向があった。そこで、前ステップの勾配情報を踏まえた更新を行うことで、より効率よく最小値に向かうことを狙いとした Momentum 系のアルゴリズムが提案された。以下は Momentum の実装コードである。

空欄（　い　）に当てはまる選択肢を以下のうちから１つ選べ。",images/A-2/momentum_code.png,*=,省略,-=,省略,+=,省略,/=,省略,,,,,,,,,3,速度vには既に「進むべき方向と量」(µv − α∇E)が入っているので、パラメータには params[key] += self.v[key] として速度をそのまま足し込みます。
107,修了試験A-2,"最適化アルゴリズムの一つである（　あ　）は、現在の位置から予測される次の位置における勾配を計算することで、更新の振動をさらに抑制することができる。

（　あ　）に入る正しい選択肢を１つ選べ。",,Momentum,不正解。Momentumは過去の勾配を使いますが、「予測される次の位置」での勾配は使いません。,NAG,正解。NAG（Nesterov Accelerated Gradient）は慣性で進んだ先読み位置の勾配を使い、行き過ぎを事前に察知して振動をさらに抑制します。,SGD,不正解。SGDに先読みの仕組みはありません。,GD,不正解。GDに先読みの仕組みはありません。,,,,,,,,,2,NAG(Nesterov Accelerated Gradient)は、慣性で進んだ「先の位置」での勾配を使って更新するMomentumの改良版で、行き過ぎを事前に察知できるため振動をさらに抑制できます。
108,修了試験A-2,Pathological Curvature について、以下のうち誤っている選択肢を１つ選べ。,,Pathological Curvature では、目的関数の減少量が非常に小さくなり、曲率が非常に大きくなることで学習が滞ってしまう。,正解（本試験で「誤り」とされている記述）。Pathological Curvature は方向によって曲率が極端に異なる細長い谷状の地形で、急な方向に振動し緩やかな方向への進みが遅くなる現象です。「減少量が小さくなり、曲率が大きくなることで学習が滞る」という因果の説明は現象の説明として不正確とされています。,Pathological Curvature を解決するためには、大きなミニバッチサイズを利用することが最適である。,不正解（出題上は正しい扱い）。ミニバッチサイズを大きくすると勾配のばらつきが減り振動が緩和されるため、緩和策の１つとされています。,Momentumは、過去の勾配の変化を利用して振動を抑えることを目的としており、Pathological Curvature の問題を緩和する。,不正解（記述は正しい）。Momentumは過去の勾配を利用して振動を抑えるため、Pathological Curvature の問題を緩和します。,Pathological Curvature は、振動を起こしてしまうために、局所的な最小値に陥りやすくなる。,不正解（記述は正しい扱い）。急な方向に振動することで進行が滞り、局所的な最小値に陥りやすくなるとされています。,,,,,,,,,1,本試験での正解は1です。Pathological Curvature(病的な曲率)は、方向によって曲率が極端に異なる細長い谷状の地形で、急な方向には振動し、緩やかな方向への進みが遅くなる現象を指します。「減少量が小さくなり、曲率が大きくなることで学習が滞る」という記述は現象の因果の説明として不正確、というのが出題意図と考えられます。Momentumが振動を抑えて問題を緩和する点(2)は正しい記述です。
109,修了試験A-2,"勾配降下法を利用していくうえで、最適解への適切な勾配方向をみつけることが学習の成否に重要であることがわかった。（　あ　）は、前ステップの勾配情報を利用することで、勾配方向を安定させながらより正しい勾配方向を見つけようとしたものである。（　あ　）を改良した（　い　）は、将来ステップの勾配情報も加味することでより正確な方向へ降下できることを目指した。

空欄（　あ　）に当てはまる語句を以下のうちから１つ選べ。",,Momentum,正解。前ステップまでの勾配を慣性として利用し、勾配方向を安定させるのがMomentumです。,NAG,不正解。NAGは（　あ　）を改良した（　い　）に該当します。,AdaGrad,不正解。AdaGradは学習率を自動調整する系統の手法です。,SGD,不正解。SGDは前ステップの勾配情報を利用しません。,,,,,,,,,1,前ステップまでの勾配を慣性として利用し、勾配方向を安定させるのがMomentumです。
110,修了試験A-2,"勾配降下法を利用していくうえで、最適解への適切な勾配方向をみつけることが学習の成否に重要であることがわかった。（　あ　）は、前ステップの勾配情報を利用することで、勾配方向を安定させながらより正しい勾配方向を見つけようとしたものである。（　あ　）を改良した（　い　）は、将来ステップの勾配情報も加味することでより正確な方向へ降下できることを目指した。

空欄（　い　）に当てはまる語句を以下のうちから１つ選べ。",,NAG,正解。NAGは慣性で移動した将来の位置での勾配も加味することで、より正確な方向へ降下します。,SGD,不正解。SGDは将来ステップの勾配を使いません。,Momentum,不正解。Momentumは改良元の（　あ　）です。,AdaGrad,不正解。AdaGradは学習率調整系の手法で、将来位置の勾配は使いません。,,,,,,,,,1,NAG(Nesterov Accelerated Gradient)はMomentumの改良版で、慣性で移動した先(将来の位置)での勾配を使うことで、より正確な方向へ更新します。
111,修了試験A-2,"以下は深層学習における最適化手法の１つであるNAGの実装コードである。

空欄（　う　）に当てはまる選択肢を以下のうちから１つ選べ。",images/A-2/nag_code.png,self.momentum / self.v[key],省略,self.momentum * self.momentum,省略,self.momentum * self.v[key],省略,self.v[key],省略,,,,,,,,,3,NAGでは、まず慣性項 momentum × v の分だけパラメータを先に進めます(params[key] += self.momentum * self.v[key])。この「先読み位置」で勾配分の更新を行うのがNAGの特徴です。
112,修了試験A-2,"以下は深層学習における最適化手法の１つであるNAGの実装コードである。

空欄（　え　）に当てはまる選択肢を以下のうちから１つ選べ。",images/A-2/nag_code.png,self.momentum * self.lr * grads[key],省略,self.lr * grads[key],省略,self.momentum * self.lr - grads[key],省略,(1 - self.momentum) * self.lr * grads[key],省略,,,,,,,,,2,先読み位置に進めた後、通常の勾配降下と同様に学習率×勾配の分だけ引きます(params[key] -= self.lr * grads[key])。
113,修了試験A-2,"以下は深層学習における最適化手法の１つであるNAGの実装コードである。

空欄（　お　）に当てはまる選択肢を以下のうちから１つ選べ。",images/A-2/nag_code.png,+=,省略,/=,省略,-=,省略,*=,省略,,,,,,,,,4,速度の更新では、まず self.v[key] *= self.momentum で過去の速度を減衰させ、その後 self.v[key] -= self.lr * grads[key] で勾配分を引きます。合わせて v ← μv − α∇E というMomentum系の速度更新式になります。
114,修了試験A-2,"ニューラルネットワークの有効性が確認された後、層の組み合わせを変化させるなどして、様々なネットワークが開発されている。モデルにデータを投入して推定値を出力するための計算は（　あ　）と呼ばれる。推定値と実際の値の差（誤差）を利用して、モデルを修正するための計算は（　い　）とよばれる。一般に、重みは入力値との間で内積を取り、バイアスはその出力に足し合わせる。（　い　）では微分計算で連鎖律が用いられる。連鎖律を用いる理由として（　う　）が挙げられる。

空欄（　あ　）、（　い　）に当てはまる語句の組み合わせとして正しいものを以下のうちから１つ選べ。",,（あ）：逆伝播　（い）：順伝播,不正解。（あ）と（い）の組み合わせが逆です。,（あ）：順伝播　（い）：逆伝播,正解。推定値を出力する計算が順伝播、誤差を基に修正のための勾配を計算するのが逆伝播です。,（あ）：逆伝播　（い）：逆伝播,不正解。推定値の計算は順伝播です。,（あ）：順伝播　（い）：順伝播,不正解。誤差を利用した修正の計算は逆伝播です。,,,,,,,,,2,推定値を出力する計算が順伝播、誤差を基にモデルを修正するための勾配計算が逆伝播です。
